번호,시도,시군구,상세주소,ap,위도,경도
26863,Gyeongsangbuk-do,Gyeongsan-si,대평동 439-7번지 6층/L2 : 4층 매표소옆 AP : 4층 커피점앞천정,SKT,35.83454766,128.7332501
26864,Gyeongsangbuk-do,Gyeongsan-si,대평동 439-7번지 6층,LGT,35.83454766,128.7332501
26865,Gyeongsangbuk-do,Gyeongsan-si,대평동 439-7번지 6층/ L2 : 4층 매표소옆 AP : 엘레베이터앞 천정,SKT,35.83454766,128.7332501
26866,Gyeongsangbuk-do,Gyeongsan-si,진량읍 신상리 373-3번지,SKT,0,0
26867,Gyeongsangbuk-do,Gyeongsan-si,진량읍 신상리 373-3번지,LGT,0,0
26868,Gyeongsangbuk-do,Gyeongsan-si,유곡동 290 -0 농업회사법인청보건강 1층,SKT,35.79586659,128.7769239
26869,Gyeongsangbuk-do,Gyeongsan-si,진량읍 대학로 1089,LGT,35.8394105,128.758023
26870,Gyeongsangbuk-do,Gyeongsan-si,진량읍 대학로 1089,KT,35.8394105,128.758023
26871,Gyeongsangbuk-do,Gyeongsan-si,원효로 64 (3609504300),LGT,35.81699556,128.7483245
26872,Gyeongsangbuk-do,Gyeongsan-si,Gyeongsangbuk-do 경산시 신교동 73-0 경산남부동사무소-경산남부동사무소-1-65,SKT,35.81366,128.73911
26873,Gyeongsangbuk-do,Gyeongsan-si,Gyeongsangbuk-do 경산시 사동 572-1 경산동부동사무소-1-7,SKT,35.81935,128.75422
26874,Gyeongsangbuk-do,Gyeongsan-si,원효로28길 60-6 (계양동),SKT,35.8180272,128.748623
26875,Gyeongsangbuk-do,Gyeongsan-si,Gyeongsangbuk-do 경산시 중방동 708-5 경산보건소-1-224,LGT,35.82493,128.74303
26876,Gyeongsangbuk-do,Gyeongsan-si,Gyeongsangbuk-do 경산시 중방동 708-0 경산보건소-1-225,LGT,35.82549,128.74306
26877,Gyeongsangbuk-do,Gyeongsan-si,Gyeongsangbuk-do 경산시 중방동 708-5 경산보건소-1-226,KT,35.82493,128.74303
